	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
ZNF503-AS1	0.0904166666666667	0	0	0	0	0.046	0.0866666666666667	0	0	0.0366666666666667	0	0	0.05	0	0	0	0	0	0
ZNF503-AS2	1.1275	0.248	1.438	0.4975	0.1475	0.258	0.296666666666667	0.683333333333333	0.6	0.1	0.103333333333333	0.356666666666667	0.696666666666667	0.325	0.305	0.44	0.245	0.5	0.655
ZNF506	10.5766666666667	8.48	6.608	5.43875	5.8425	5.848	4.60666666666667	6.92	4.24333333333333	5.93333333333333	4.68333333333333	4.33	3.8	6.61	6.18	4.235	5.35	5.6	5.775
ZNF507	2.13333333333333	0.312	0.116	0.12875	0.065	0.122	0.306666666666667	0.403333333333333	0.0366666666666667	0.103333333333333	0.04	0.0533333333333333	0.08	0.245	0.135	0.19	0.075	0.235	0.72
ZNF510	4.07416666666667	2.028	0.988	1.175	1.685	3.054	3.63666666666667	1.71333333333333	1.10333333333333	0.876666666666667	0.803333333333333	1.58666666666667	1.63333333333333	2.03	1.425	1.395	1.4	1.65	2.97
ZNF511	37.4179166666667	30.16	25.862	15.98875	13.7075	22.564	25.3833333333333	29.7066666666667	28.7733333333333	20	14.43	26.1633333333333	32.59	30.89	29.765	25.615	22.755	25.14	36.23
ZNF512	13.9216666666667	7.364	7.852	4.3625	2.3225	6.428	9.44666666666667	5.87333333333333	3.4	2.24333333333333	1.65333333333333	3.41	4.42	5.955	3.41	3.32	3.46	6.155	8.66
ZNF512B	2.7475	1.622	1.336	0.565	0.5525	1.064	2.64333333333333	1.01	0.903333333333333	0.346666666666667	0.156666666666667	0.366666666666667	0.28	0.635	0.645	0.32	0.205	0.405	0.615
ZNF513	10.37875	9.306	10.254	7.83625	7.7625	8.166	8.82333333333333	4.8	4.78333333333333	6.79	7.99666666666667	7.93333333333333	5.47666666666667	4.945	4.865	3.655	4.105	4.02	3.23
ZNF514	2.925	1.77	1.36	1.24875	1.1375	1.81	1.75	2.35333333333333	1.36333333333333	1.36	1	1.96333333333333	1.79333333333333	1.285	1.355	1.025	1.085	1.44	1.68
ZNF516	15.4558333333333	12.558	11.464	6.6525	7.915	6.936	16.51	10.17	14.41	11.6033333333333	8.95333333333333	7.91666666666667	8.04333333333333	9.045	9.215	10.195	8.58	7.44	10.52
ZNF517	0.970416666666667	0.408	0.276	0.34125	0.4425	0.594	1.1	0.293333333333333	0.206666666666667	0.21	0.173333333333333	0.246666666666667	0.31	0.29	0.335	0.365	0.225	0.26	0.29
ZNF518A	14.3383333333333	13.534	6.986	6.51625	8.2675	13.604	16.0066666666667	9.86333333333333	6.57	6.10333333333333	4.38666666666667	7.15	7.42333333333333	9.8	8.095	6.23	7.61	8.88	12.8
ZNF518B	8.55458333333333	5.924	4.892	4.75875	4.1425	7.082	9.51	7.73	4.25	4.77666666666667	4.27666666666667	6.90666666666667	6.79666666666667	6.525	5.175	4.095	3.745	6.33	10.915
ZNF519	1.19958333333333	0.284	0.202	0.07875	0.1025	0.188	0.123333333333333	0.46	0.253333333333333	0.146666666666667	0.04	0.193333333333333	0.0966666666666667	0.31	0.285	0.175	0.245	0.08	0.32
ZNF521	2.1375	0.008	0.078	0.08125	0.2275	0.198	0.483333333333333	0.0333333333333333	0	0.0633333333333333	0.09	0.913333333333333	1.04333333333333	0.015	0.03	0.06	0.195	0.15	0.1
ZNF524	26.0720833333333	16.146	10.26	6.465	7.7675	8.84	14.9	21.6733333333333	15.33	7.53666666666667	6.14333333333333	15.0933333333333	18.5966666666667	23.145	15.335	12.39	11.835	14.47	18.94
ZNF525	2.29833333333333	1.386	0.854	0.89625	1.5475	2.376	2.74	1.43333333333333	1.08333333333333	1.13	1.26	1.38666666666667	1.13	1.42	1.145	1.115	1.14	1.78	2.43
ZNF526	7.75666666666667	3.27	7.408	5.5475	6.36	5.174	7.52	1.78666666666667	3.67	3.01	4.60333333333333	4.67333333333333	5.02666666666667	2.38	1.72	2.02	2.55	3.09	4.045
ZNF527	1.50625	1.034	1.026	0.55	0.73	0.958	0.67	0.866666666666667	0.35	0.42	0.44	0.563333333333333	0.476666666666667	0.985	0.62	0.61	0.67	0.4	0.635
ZNF528	2.2575	2.556	2.026	1.04625	1.325	1.57	1.63666666666667	1.76666666666667	1.18666666666667	1.41333333333333	0.49	1.22333333333333	0.593333333333333	2.12	1.545	1.925	1.29	1.045	1.065
ZNF528-AS1	0.823333333333333	0.892	0.814	0.395	0.435	0.614	0.516666666666667	1.20666666666667	0.653333333333333	0.706666666666667	0.37	0.113333333333333	0.486666666666667	0.69	1.135	0.775	0.73	0.65	0.715
ZNF529	6.41083333333333	3.808	4.944	4.26625	3.875	4.252	4.81	2.55666666666667	2.11666666666667	3.50666666666667	3.23666666666667	2.80666666666667	2.51333333333333	2.59	2.23	1.715	1.505	1.34	1.44
ZNF529-AS1	2.76666666666667	2.484	2.412	2.04625	1.6525	1.456	1.80666666666667	1.84	1.59333333333333	1.48333333333333	0.79	1.34	1.42666666666667	1.66	1.935	1.99	0.725	1.12	0.9
ZNF530	1.24916666666667	0.42	0.36	0.17625	0.2725	0.318	0.283333333333333	0.483333333333333	0.37	0.166666666666667	0.303333333333333	0.406666666666667	0.273333333333333	0.435	0.215	0.51	0.375	0.485	0.41
ZNF532	2.47625	1.214	1.194	0.9475	0.8075	0.698	0.896666666666667	1.58666666666667	1.36	0.713333333333333	0.773333333333333	0.733333333333333	0.886666666666667	1.305	0.995	0.715	0.735	0.625	1.965
ZNF534	0.00583333333333333	0.032	0	0.02625	0.0275	0	0	0	0.17	0.0666666666666667	0	0	0	0	0	0	0	0	0
ZNF536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF540	0.477083333333333	0.256	0.01	0.04	0.045	0.162	0.176666666666667	0.183333333333333	0.05	0	0	0.0333333333333333	0.223333333333333	0.1	0.025	0.075	0.055	0	0.095
ZNF541	0.0208333333333333	0	0	0	0	0	0.0266666666666667	0	0.04	0	0	0	0	0	0.02	0.015	0	0.03	0.125
ZNF542P	7.99	6.462	2.976	2.36125	2.5875	5.494	7.60333333333333	4.5	2.03	1.61	1.59666666666667	2.32333333333333	2.23333333333333	3.53	2.56	1.265	0.83	0.895	2.69
ZNF543	4.83	1.992	3.268	3.25	3.1675	3.022	3.91	0.81	1.06	1.66333333333333	1.74333333333333	1.71333333333333	1.53333333333333	1.655	1.695	1.37	1.51	1.33	2.515
ZNF544	4.51083333333333	3.77	2.158	1.26875	1.1775	2.026	2.73666666666667	3.24333333333333	1.69666666666667	0.703333333333333	0.6	1.08666666666667	0.783333333333333	2.67	2.145	1.235	0.86	0.71	1.37
ZNF546	1.43458333333333	0.832	0.3	0.3375	0.575	0.896	1.06	0.55	0.18	0.0833333333333333	0.186666666666667	0.616666666666667	0.383333333333333	0.52	0.29	0.285	0.415	0.315	0.445
ZNF547	1.73	0.996	0.538	0.5675	1.0825	1.834	1.61	0.236666666666667	0.34	0.393333333333333	0.293333333333333	0.75	0.506666666666667	0.805	0.56	0.57	0.625	1.055	1.135
ZNF548	7.2275	4.424	4.388	2.92	3.25	3.946	4.2	4.33	2.83333333333333	2.37666666666667	2.45333333333333	2.72666666666667	2.12666666666667	3.825	3.355	2.765	2.87	2.66	2.945
ZNF549	3.6425	1.782	1.702	1.70125	2.3925	2.67	3.22333333333333	1.28	0.926666666666667	1.93666666666667	0.88	1.52	1.45333333333333	1.82	0.88	1.375	2.01	2.165	2.42
ZNF550	3.77833333333333	0.726	1.162	1.6825	1.33	1.528	1.92	1.02333333333333	0.9	0.756666666666667	0.526666666666667	0.263333333333333	0.713333333333333	1.405	1.055	1.65	0.925	0.765	0.7
ZNF551	5.93666666666667	2.76	2.914	1.93875	1.7725	2.416	2.73	1.21	1.80333333333333	1.25333333333333	0.96	0.613333333333333	0.543333333333333	1.835	1.325	0.845	1.235	1.09	1.225
ZNF552	4.15791666666667	1.784	1.226	0.975	1.675	2.274	3.64	1.60333333333333	0.593333333333333	0.89	0.966666666666667	1.48	1.49333333333333	1.05	0.45	0.845	0.525	1	1.785
ZNF554	1.91458333333333	1.158	1.734	1.415	0.9575	1.02	1.33	0.5	0.466666666666667	0.226666666666667	0.26	0.386666666666667	0.676666666666667	0.68	0.59	0.315	0.415	0.34	0.805
ZNF555	2.30458333333333	0.86	0.988	0.96875	1.3475	1.738	2.30333333333333	0.546666666666667	0.276666666666667	0.573333333333333	0.593333333333333	0.81	0.87	0.555	0.705	0.83	0.745	0.815	1.1
ZNF556	0.166666666666667	0.028	0.082	0.065	0	0.072	0.08	0	0.0833333333333333	0.126666666666667	0.04	0.0933333333333333	0.103333333333333	0	0	0	0	0.035	0.045
ZNF557	5.9275	2.29	2.152	2.095	2.355	4.158	4.45666666666667	1.5	1.43	1.15	1.73333333333333	2.47	1.63333333333333	1.535	1.58	1.355	1.815	2.81	3.42
ZNF558	2.99875	2.794	1.25	1	1.1	3.42	3.23333333333333	3.22666666666667	1.12	0.496666666666667	1.35333333333333	2.35333333333333	2.28	2.585	1.905	1.18	1.725	2.39	3.125
ZNF559	5.98125	6.794	2.84	2.1775	1.9925	3.384	3.68666666666667	4.54666666666667	2.79	1.11666666666667	1.02333333333333	2.24	2.14333333333333	5.445	5.46	2.42	2.905	3.95	5.43
ZNF559-ZNF177	0.461666666666667	0.28	0.154	0.09375	0.155	0.188	0.316666666666667	0	0	0.03	0	0	0	0	0	0	0	0.12	0.265
ZNF560	0.08	0.042	0	0.02375	0.0375	0	0	0	0.04	0	0	0	0	0.065	0.06	0.03	0	0	0.025
ZNF561	12.99	7.912	3.906	5.13	6.005	9.152	12.13	9.23666666666667	4.75	3.67333333333333	3.39333333333333	6.97	7.30333333333333	9.145	4.96	4.315	4.5	5.68	8.475
ZNF561-AS1	3.36125	3.036	2.164	1.32625	1.2	2.184	4.21666666666667	2.80333333333333	1.83	1.68666666666667	0.473333333333333	0.746666666666667	1.48	3.54	2.785	2.585	1.895	1.56	1.92
ZNF562	21.7670833333333	18.016	15.428	17.84125	15.77	17.586	18.6366666666667	10.9633333333333	7.83333333333333	7.7	7.6	9.67333333333333	8.56666666666667	10.33	7.83	8.28	8.205	9.325	12.055
ZNF563	0.88625	0.718	0.264	0.17875	0.6125	1.904	3.44	0.36	0.186666666666667	0.286666666666667	0.146666666666667	0.643333333333333	0.596666666666667	0.725	0.37	0.415	0.52	0.585	1.215
ZNF564	7.87	2.83	1.582	1.95375	3.9175	4.754	6.27666666666667	2.78	1.65	1.73333333333333	2.46	3.47	4.19666666666667	3.88	2.28	4.125	4.775	6.785	9.125
ZNF565	2.15458333333333	1.518	1.334	1.19375	1	1.786	2.24333333333333	1.02666666666667	0.726666666666667	0.6	0.883333333333333	1.37666666666667	1.63666666666667	1.765	1.25	0.905	1.72	1.995	1.355
ZNF566	2.87166666666667	1.798	0.916	0.91375	1.0425	1.456	2.53	1.10333333333333	0.763333333333333	0.98	0.743333333333333	1.15	1.35666666666667	1.785	0.75	1.37	0.75	1.01	1.575
ZNF567	5.89333333333333	2.17	1.426	2.735	3.585	3.4	3.85	1.59666666666667	0.583333333333333	2.38666666666667	2.33333333333333	1.99	2.1	1.81	1.285	1.89	2.57	1.595	2.34
ZNF568	2.55708333333333	1.65	0.53	0.75125	1.25	1.296	1.69666666666667	1.48	0.796666666666667	0.566666666666667	0.956666666666667	0.92	0.756666666666667	1.275	0.94	0.745	0.56	0.865	0.84
ZNF569	2.03208333333333	1.3	0.564	0.37375	0.51	1.378	1.81666666666667	1.33333333333333	0.613333333333333	0.563333333333333	0.463333333333333	0.676666666666667	0.81	1.505	0.76	0.595	0.375	0.66	1.26
ZNF57	3.14208333333333	0.752	0.542	0.3575	0.6975	1.536	2.46666666666667	0.77	0.67	0.246666666666667	0.303333333333333	1.18666666666667	1	0.95	0.635	0.345	0.96	0.89	1.88
ZNF570	2.72208333333333	1.408	0.55	0.51875	1.1575	1.664	2.05666666666667	0.983333333333333	0.83	0.323333333333333	0.86	0.976666666666667	0.81	1.005	0.635	0.35	0.67	0.785	0.895
ZNF571	1.54625	0.896	0.294	0.12375	0.2475	0.776	1.09666666666667	0.896666666666667	0.0233333333333333	0.21	0.136666666666667	0.283333333333333	0.573333333333333	0.63	0.08	0.03	0.27	0.415	0.65
ZNF571-AS1	0.837916666666667	1.154	0.862	0.37125	0.43	0.264	0.11	0.336666666666667	0.296666666666667	0.423333333333333	0.216666666666667	0.06	0.0966666666666667	0.665	0.165	0.28	0.22	0.14	0.15
ZNF572	0.60625	0.122	0.076	0.06875	0.1025	0.278	0.573333333333333	0.04	0.0333333333333333	0.0733333333333333	0.0866666666666667	0.133333333333333	0.136666666666667	0.215	0.13	0.285	0.155	0.4	0.395
ZNF573	2.81666666666667	1.906	0.758	1.0575	0.4675	1.316	1.98	1.15666666666667	1.32	0.556666666666667	0.356666666666667	0.733333333333333	0.176666666666667	1.625	1.275	0.635	0.59	0.385	0.845
ZNF574	9.94916666666667	2.584	5.938	5.79375	6.97	5.952	9.38	1.03666666666667	3.13666666666667	4.46333333333333	5.41333333333333	6.24	5.23	3.355	5.59	6.725	5.96	6.825	6.67
ZNF575	2.38291666666667	1.096	1.454	0.525	1.5425	1.27	1.33666666666667	1.10666666666667	1.22	0.826666666666667	0.383333333333333	0.52	0.596666666666667	1.92	1.41	1.72	1.31	3.155	3.8
ZNF576	7.40291666666667	5.418	2.212	1.90625	2.745	5.598	6.15	5.07333333333333	2.11333333333333	1.91	2.33	4.27	2.93333333333333	5.925	2.85	1.565	2.39	2.86	4.915
ZNF577	4.12958333333333	2.414	1.874	1.16	0.97	2.448	2.82666666666667	1.95333333333333	2.38	1.21	0.94	1.25666666666667	1.61333333333333	2.12	2.15	1.44	1.325	1.36	2.105
ZNF578	1.47041666666667	1.034	0.824	0.6225	0.5675	1.32	1.42	0.32	0.21	0.373333333333333	0.203333333333333	0.5	0.44	0.64	0.65	0.31	0.5	0.325	0.605
ZNF579	7.11333333333333	2.582	2.882	2.67125	2.335	3.534	5.43	2.98666666666667	1.59	3.52666666666667	5.15333333333333	6.40333333333333	7.82666666666667	2.72	2.91	3.005	2.57	4.47	4.46
ZNF580	52.6216666666667	29.412	25.278	14.14875	8.725	14.154	16.6166666666667	17.84	17.6633333333333	4.64	5.55666666666667	7.93	8.98666666666667	15.705	13.28	13.015	12.285	11.605	11.165
ZNF581	25.25125	8.924	7.022	5.175	5.89	8.666	13.42	10.2066666666667	7.79	4.25666666666667	5.07	8.97	10.8866666666667	14.15	12.245	5.25	5.7	6.15	10.815
ZNF582	1.2275	0.75	0.24	0.46125	0.55	0.906	0.77	1.08333333333333	0.443333333333333	0.596666666666667	0.343333333333333	0.456666666666667	0.933333333333333	0.88	0.95	0.69	0.59	0.65	1.06
ZNF582-AS1	0.966666666666667	0.322	0.582	0.14	0.4775	0.464	0.98	0.246666666666667	0.636666666666667	0	0.126666666666667	0.213333333333333	0.176666666666667	0.44	0.495	0	0	0.04	0.06
ZNF583	3.10375	1.78	0.866	1.83125	1.915	1.754	1.56333333333333	2.10333333333333	0.47	1.29666666666667	1.49666666666667	1.49333333333333	1.26	2.06	1.1	1.16	1.235	0.925	1.01
ZNF584	3.91125	3.424	2.036	1.0625	1.4675	2.392	3.91	2.24666666666667	1.15	1.55666666666667	1.39333333333333	2.25666666666667	2.02666666666667	2.07	1.405	0.935	0.535	1.315	1.615
ZNF585A	17.96	15.388	10.636	10.25375	10.5025	17.026	13.3666666666667	26.8766666666667	18.4466666666667	12.59	10.5066666666667	10.1466666666667	14.51	25.925	19.915	20.83	13.91	13.345	16.625
ZNF585B	5.74541666666667	4.808	2.39	1.855	2.7125	5.088	6.09	4.39333333333333	2.47333333333333	1.97666666666667	1.18666666666667	3.47	3.81666666666667	3.625	3.15	1.96	2.17	3.17	5.65
ZNF586	11.77125	8.156	8.61	5.68625	6.555	6.438	7.89666666666667	3.69333333333333	4.67666666666667	3.32666666666667	4.45333333333333	3.69666666666667	2.9	5.095	3.83	4.165	3.28	2.765	3.63
ZNF587	5.76208333333333	3.738	4.836	4.10125	3.0075	3.028	4.40333333333333	1.91333333333333	2.2	1.93666666666667	1.70666666666667	1.67333333333333	1.22333333333333	2.325	1.86	1.14	1.255	1.55	1.285
ZNF587B	2.9775	1.534	1.704	1.15125	1.2975	1.966	3.30333333333333	1.59333333333333	0.806666666666667	1.21	1.46	1.18	1.16333333333333	1.28	0.97	0.625	0.755	1.56	1.13
ZNF589	16.0958333333333	13.82	9.17	3.18875	1.8875	6.772	15.7366666666667	9.08666666666667	6.96333333333333	1.84333333333333	0.836666666666667	1.85	2.72333333333333	9.84	6.09	1.71	1.79	3.23	5.135
ZNF592	27.7658333333333	17.952	15.912	11.495	15.6875	14.876	22.45	16.5233333333333	14.1166666666667	11.1933333333333	11.6133333333333	16.2766666666667	15.9966666666667	16.525	11.04	12.325	12.8	14.91	16.49
ZNF593	31.7216666666667	22.884	12.646	11.60125	5.1	22.752	25.1333333333333	18.0266666666667	13.1033333333333	7.10666666666667	10.73	9.51	14.9933333333333	15.09	10.85	6.93	5.645	13.065	13.69
ZNF594	1.41458333333333	0.47	0.272	0.35875	0.2825	0.55	1.09	0.433333333333333	0.32	0.163333333333333	0.163333333333333	0.36	0.326666666666667	0.335	0.215	0.32	0.535	0.61	0.73
ZNF595	5.31875	1.736	1.156	1.70625	1.2675	1.892	2.1	1.44666666666667	1.05333333333333	1.49666666666667	1.16666666666667	1.09666666666667	1.62333333333333	2.885	2.985	2.095	1.495	3.13	4.12
ZNF596	1.46	0.572	0.456	0.405	0.47	0.844	1.31	0.396666666666667	0.176666666666667	0.0933333333333333	0.256666666666667	0.286666666666667	0.77	0.36	0.505	0.225	0.375	0.675	0.88
ZNF597	3.37125	4.08	2.218	2.02625	2.1925	3.058	4.31666666666667	3.02333333333333	3.56666666666667	2.10333333333333	2.26	2.06666666666667	2.2	1.94	2.37	1.75	1.735	2.47	2.935
ZNF598	16.57875	11.276	14.132	15.37	9.915	10.654	13.0566666666667	8.19	8.52666666666667	15.3066666666667	11.4533333333333	11.76	11.1133333333333	9.48	5.585	3.765	4.305	6.39	6.89
ZNF599	0.34125	0.216	0.126	0.05	0.07	0.072	0.123333333333333	0.22	0.213333333333333	0.196666666666667	0.0133333333333333	0.146666666666667	0.11	0.19	0.29	0.225	0.105	0.085	0
ZNF600	3.21166666666667	1.67	0.894	1.205	2.09	3.238	3.09	1.04666666666667	0.78	0.193333333333333	0.773333333333333	0.983333333333333	0.92	1.52	2.26	2.26	2.24	2.31	3.085
ZNF605	3.47666666666667	1.624	0.764	0.47875	0.865	1.9	2.39	1.10666666666667	0.486666666666667	0.213333333333333	0.526666666666667	1.12666666666667	1.16333333333333	1.065	0.75	0.575	0.705	1.07	1.225
ZNF606	2.18583333333333	0.714	0.348	0.64625	0.93	1.56	1.82333333333333	0.613333333333333	0.193333333333333	0.473333333333333	0.46	0.92	1.25	0.495	0.585	0.51	0.65	1.015	1.215
ZNF607	1.135	0.428	0.384	0.2425	0.3375	0.526	0.576666666666667	0.213333333333333	0.173333333333333	0.0433333333333333	0.16	0.13	0.21	0.27	0.16	0.095	0.105	0.3	0.235
ZNF608	1.15916666666667	0.042	0.012	0.03875	0.04	0.046	0.226666666666667	0.0166666666666667	0	0	0.0233333333333333	0.0266666666666667	0	0.035	0	0	0.03	0.01	0.015
ZNF609	27.2433333333333	25.424	22.126	13.515	9.2325	17.848	29.7833333333333	22.24	19.07	12.8066666666667	9.89666666666667	17.1633333333333	12.58	19.41	14.56	8.24	5.625	6.325	9.8
ZNF610	2.31375	1.106	0.454	0.52625	0.9475	1.694	1.72666666666667	0.613333333333333	0.15	0.14	0.283333333333333	0.17	0.28	0.705	0.32	0.32	0.285	0.775	0.865
ZNF611	8.205	7.904	5.194	3.62375	5.55	7.564	9.67666666666667	5.69666666666667	3.78333333333333	2.54	2.83333333333333	4.09666666666667	3.59	4.125	3.285	2.475	2.415	5.075	6.745
ZNF613	5.59375	2.508	1.586	2.6375	4.35	6.12	7.03	2.26666666666667	0.853333333333333	2.21	2.41666666666667	3.57	3.34666666666667	4.525	4.58	3.52	4.05	4.99	5.375
ZNF614	4.14583333333333	3.814	1.988	2.645	2.7675	3.252	3.66	3.14333333333333	1.69666666666667	3.77	3.13333333333333	2.72666666666667	2.52333333333333	2.44	2.45	1.195	1.265	1.045	2.185
ZNF615	6.39291666666667	2.61	1.476	1.7775	2.2675	4.31	5.14	2.42333333333333	1.08	1.79	1.80666666666667	2.58666666666667	2.56666666666667	2.41	1.685	1.655	1.29	1.41	3.385
ZNF616	7.32458333333333	4.034	1.472	1.64375	2.3775	3.92	5.14333333333333	3.85	1.46666666666667	1.51333333333333	1.49	2.74333333333333	2.78666666666667	4.76	2.67	2.465	2.215	3.02	6.18
ZNF618	2.30958333333333	1.57	1.182	2.49125	6.0075	3.4	5.17333333333333	0.72	0.58	0.236666666666667	0.0966666666666667	0.0333333333333333	0.0633333333333333	0.595	1.01	8.445	13.735	17.805	16.36
ZNF619	6.05333333333333	2.726	1.814	2.07875	3.4925	6.182	7.66333333333333	2.17333333333333	0.963333333333333	1.06666666666667	1.24	3.65	2.97333333333333	2.17	2.405	3.285	3.45	4.71	5.095
ZNF620	2.34791666666667	2.476	3.422	1.78625	1.8375	6.438	11.5666666666667	0.803333333333333	0.826666666666667	1.01666666666667	0.92	2.69666666666667	3.24	0.955	1.02	0.83	0.98	0.695	1.29
ZNF621	7.86416666666667	5.652	5.92	4.9125	5.185	9.866	10.5366666666667	2.70666666666667	2.37333333333333	1.72666666666667	2.28333333333333	4.11	3.88666666666667	4.695	3.09	2.835	3.415	3.295	3.04
ZNF622	41.0195833333333	39.064	51.192	40.4825	43.2725	40.212	36.53	34.78	28.8966666666667	41.1	40.84	43.43	42.1466666666667	31.23	26.745	32.89	35.995	41.05	49.18
ZNF623	8.605	3.318	2.03	3.63875	4.75	6.618	8.42333333333333	3.11666666666667	1.35666666666667	2.28666666666667	2.59666666666667	4.45666666666667	4.12	3.655	1.49	2.145	2.86	3.565	5.025
ZNF624	4.51625	2.002	1.806	2.36375	3.2475	3.288	3.46333333333333	2.80333333333333	1.48	2.54666666666667	3.26333333333333	4.03333333333333	4.21333333333333	3.17	3.305	3.5	3.21	3.58	4.66
ZNF625	1.28375	0.188	0.062	0.49875	0.635	0.82	1.48	0.163333333333333	0.0966666666666667	0	0	0.413333333333333	0.0766666666666667	0.31	0.24	0.315	0.26	0.615	1.14
ZNF625-ZNF20	0.639583333333333	0.124	0.152	0.45625	0.3625	0.342	0.236666666666667	0.06	0.146666666666667	0.16	0	0.14	0.06	0.32	0	0.23	0	0.475	0.325
ZNF626	3.1925	2.148	1.14	1.24375	0.9425	1.4	1.14333333333333	2.47666666666667	1.90666666666667	1.91333333333333	0.543333333333333	1.24666666666667	0.463333333333333	2.345	3.45	1.755	1.67	0.82	1.615
ZNF627	7.785	3.37	1.474	2.395	3.745	7.472	8.97	1.10333333333333	1.07333333333333	2.03666666666667	3	4.64	5.81333333333333	1.995	2.82	3.22	3.33	4.955	7.39
ZNF628	8.1275	2.608	1.908	1.4675	2.03	3.006	3.80666666666667	2.83	1.71	1.61	1.71666666666667	2.99	3.52333333333333	3.21	2.9	1.945	2.05	3.045	3.08
ZNF629	7.66833333333333	3.67	3.088	2.175	2.755	4.468	10.3033333333333	2.71333333333333	2.2	2.21	1.97666666666667	3.16666666666667	3.16666666666667	2.83	2.845	2.17	2.03	2.795	3.88
ZNF630	1.55041666666667	1.65	0.74	0.305	0.475	1.45	1.75666666666667	0.86	0.523333333333333	0.0466666666666667	0.163333333333333	0.52	0.35	0.67	0.545	0.285	0.1	0.385	0.605
ZNF630-AS1	0.0420833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF638	49.0895833333333	45.444	30.43	24.30625	20.9175	39.118	52.1666666666667	38.33	20.89	12.79	13.2766666666667	20.9366666666667	22.2933333333333	34.12	26.96	30.33	39.975	74.995	115.31
ZNF639	17.1129166666667	11.47	6.322	7.69875	9.995	13.272	14.3033333333333	14.7666666666667	8.97333333333333	7.12333333333333	9.54333333333333	14.01	12.4433333333333	13.36	12.145	10.67	12.335	9.71	16.21
ZNF641	14.6029166666667	9.146	4.808	2.19625	2.895	4.604	7.41666666666667	7.26666666666667	4.09	2.11333333333333	1.61666666666667	3.48333333333333	5.66333333333333	6.16	4.03	3.79	2.63	2.85	4.44
ZNF644	42.8820833333333	35.756	26.434	24.28375	22.0175	30.168	34.95	22.15	21.5566666666667	23.2866666666667	20.9966666666667	20.0666666666667	20.2766666666667	22.495	20.16	20.885	20.805	20.55	26.965
ZNF645	0.0258333333333333	0	0	0	0.0575	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0
ZNF646	13.55625	7.972	7.176	6.4375	8.7025	8.248	14.19	6.13666666666667	6.46666666666667	5.93333333333333	5.78666666666667	8.45	7.60333333333333	4.625	5.5	4.72	5.755	8.305	10.49
ZNF648	0.0754166666666667	0.216	0	0.02375	0.14	0.07	0.02	0	0	0	0	0	0.0233333333333333	0	0	0	0	0	0
ZNF649	10.27625	5.508	4.698	5.69125	6.85	8.096	9.04666666666667	3.93666666666667	2.99	4.31666666666667	5.75333333333333	6.98	7.21	4.775	5.035	5.79	5.865	7.085	7.47
ZNF649-AS1	0.122083333333333	0.088	0.52	0.28375	0.3275	0	0.48	0	0	0.11	0	0	0.256666666666667	0.115	0	0.395	0	0.465	0.12
ZNF652	20.1958333333333	14.758	8.742	2.66875	2.7975	5.544	10.2366666666667	11.72	6.66333333333333	2.26333333333333	1.68666666666667	2.92666666666667	4.15666666666667	11.61	7.285	4.8	3.865	3.525	5.25
ZNF653	1.86041666666667	2	0.772	0.82	1.215	1.788	2.52666666666667	1.38333333333333	0.976666666666667	0.486666666666667	1.08666666666667	2.9	1.91666666666667	1.27	0.62	0.52	0.665	0.895	0.64
ZNF654	11.1	9.172	5.942	13.66125	13.845	16.806	20.41	8.39333333333333	3.97666666666667	14.9333333333333	14.81	16.9566666666667	12.5566666666667	7.145	10.14	10.82	7.59	6.925	7.675
ZNF655	61.2633333333333	60.756	52.666	67.1325	63.0475	72.97	50.11	44.4866666666667	41.96	50.16	67.2033333333333	76.29	56.3066666666667	44.215	43.14	49.505	50.555	51.25	53.145
ZNF658	1.35791666666667	0.378	0.088	0.345	0.6275	0.76	1.10333333333333	0.55	0.133333333333333	0.296666666666667	0.19	0.453333333333333	0.573333333333333	0.965	1.475	0.645	0.785	0.78	1.08
ZNF658B	0.871666666666667	0.704	0.18	0.21375	0.7425	0.742	1.20666666666667	0.286666666666667	0.03	0.126666666666667	0.09	0.12	0.346666666666667	0.46	0.045	0.275	0.42	0.295	0.785
ZNF660	0.733333333333333	0.034	0.024	0.025	0	0.216	0.23	0.133333333333333	0.0366666666666667	0	0.0966666666666667	0.0666666666666667	0	0.155	0.035	0.035	0	0	0.065
ZNF662	0.58375	0.284	0.392	0.39125	0.2275	0.326	0.256666666666667	0.166666666666667	0.0533333333333333	0.0433333333333333	0.103333333333333	0.17	0.17	0.33	0.17	0.46	0.25	0.1	0.08
ZNF663P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF664	33.0541666666667	33.218	31.804	23.715	20.56	23.372	30.55	30.54	27.8266666666667	23.3233333333333	18.5933333333333	23.67	22.1233333333333	27.805	25.495	21.505	16.52	10.43	14.51
